"report","report_sourcelink","tox_monograph","tox_monograph_sourcelink","specification","specification_sourcelink","synonyms","cas_number","functional_class","evaluation_year","chemical_names","jecfa_number","coe_number","fema_number","jecfa_name","url","fas"
"TRS 776-JECFA 33/22","http://apps.who.int/iris/bitstream/10665/39252/1/WHO_TRS_776.pdf","FAS 24-JECFA 33/97","http://www.inchem.org/documents/jecfa/jecmono/v024je06.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","Karaya; Gum sterculia; Sterculia; Kadaya; Katilo; Kullo; Kuterra; Gum karaya","9000-36-6","Food AdditivesEMULSIFIERSTABILIZERTHICKENER","1988",NA,NA,NA,NA,"KARAYA GUM","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/1","24"
"TRS 909-JECFA 57/61","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/117","http://www.inchem.org/pages/jecfa.html","Compendium of FAO food additive specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/en/","1-p-Tolylethanol;p-Tolyl methyl carbinol;Methyl p-tolyl carbinol",NA,"Flavouring AgentFLAVOURING_AGENT","2001","1-(4-Methylphenyl)ethanol","805","10197","3139","p,alpha-DIMETHYLBENZYL ALCOHOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/2","48"
"TRS 913-JECFA 59/111","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 40-JECFA 49/267 (1997)","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 11/FNP 52 Add.11/95 (2003)","http://www.fao.org/ag/agn/jecfa-additives/search.html",NA,"2445-78-5","Flavouring AgentFLAVOURING_AGENT","2002","2-Methylbutyl 2-methylbutanoate","212","10773","3359","2-METHYLBUTYL 2-METHYLBUTYRATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/3","40"
"TRS 913-JECFA 59/41","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 50-JECFA 59/173","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/50","http://www.fao.org/ag/agn/jecfa-additives/search.html","ETHYL 3-CYCLOHEXYLPROPANOATE; ETHYL CYCLOHEXYLPROPIONATE; ETHYL HEXAHYDROPHENYL PROPIONATE",NA,"Flavouring AgentFLAVOURING_AGENT","2002","ETHYL CYCLOHEXANEPROPIONATE","966","2095","2431","ETHYL HEXAHYDROPHENYL PROPIONATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/4","50"
"TRS 913-JECFA 59/102","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 50-JECFA 59/371","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/74","http://www.fao.org/ag/agn/jecfa-additives/search.html","ETHYLIDENE ACETONE; METHYL PROPENYL KETONE",NA,"Flavouring AgentFLAVOURING_AGENT","2002","PENT-3-EN-2-ONE","1124","666","3417","ETHYLIDENE ACETONE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/5","50"
"TRS 913-JECFA 59/65","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 50-JECFA 59/265","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/62","http://www.fao.org/ag/agn/jecfa-additives/search.html",NA,NA,"Flavouring AgentFLAVOURING_AGENT","2002","2-Ethyl-4-methylthiazole","1044","11612","3680","2-ETHYL-4-METHYLTHIAZOLE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/6","50"
"TRS 947-JECFA68/","http://apps.who.int/iris/bitstream/10665/43870/1/9789241209472_eng.pdf","FAS 59-JECFA68/","http://apps.who.int/iris/bitstream/10665/43823/1/9789241660594_eng.pdf","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ","Ferric sodium edetate; Sodium iron EDTA; Sodium feredetate","15708-41-5","Food AdditivesNUTRIENT_SUPPLEMENT","2007","Sodium [[N,N'-ethanediylbis[N-(carboxymethyl)glycinato]](4-]ferrate(1-); Sodium iron (III) ethylenediaminetetraacetate",NA,NA,NA,"SODIUM FEREDETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/7","59"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/150 (2000)","http://www.fao.org/ag/agn/jecfa-additives/search.html","ETHYL beta-(METHYLTHIO)ACETATE",NA,"Flavouring AgentFLAVOURING_AGENT","1999","ETHYL (METHYLTHIO)ACETATE","475",NA,"3835","ETHYL 2-(METHYLTHIO)ACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/8","44"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 7/FNP 52 Add.7/112","http://www.fao.org/ag/agn/jecfa-additives/search.html","METHYL 4-(METHYLMERCAPTO)BUTYRATE",NA,"Flavouring AgentFLAVOURING_AGENT","1999","METHYL 4-(METHYLTHIO)BUTYRATE","474","11526","3412","METHYL 4-(METHYLTHIO)BUTYRATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/9","44"
"TRS 868-JECFA 46/21","http://apps.who.int/iris/bitstream/10665/41962/1/WHO_TRS_868.pdf","See TRS 868-JECFA 46/64","http://apps.who.int/iris/bitstream/10665/41962/1/WHO_TRS_868.pdf","COMPENDIUM ADDENDUM 5/FNP 52 Add.5/206 (1997)","http://www.fao.org/ag/agn/jecfa-additives/search.html","ETHYL PELARGONATE","123-29-5","Flavouring AgentFLAVOURING_AGENT","1996","ETHYL NONANOATE","34","388","2447","ETHYL PELARGONATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/10",""
"NMRS 38/TRS 309-JECFA 8/23","http://apps.who.int/iris/bitstream/10665/40627/1/WHO_TRS_309.pdf",NA,NA,"WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Fast Acid Magenta B; Fast Acid Fuchsine B; Naphtalene Red B; D and C Red No. 33; C.I. Food Red 12","3567-66-6","Food AdditivesCOLOUR","1964","Disodium salt of 5-amino-4-hydroxy-3-(phenylazo)-2,7-naphthalenedisulfonic acid",NA,NA,NA,"FAST ACID FUCHSINE B","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/11",NA
"NMRS 38/TRS 309-JECFA 8/23","http://apps.who.int/iris/bitstream/10665/40627/1/WHO_TRS_309.pdf",NA,NA,"WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Fast Acid Magenta B; Fast Acid Fuchsine B; Naphtalene Red B; D and C Red No. 33; C.I. Food Red 12","3567-66-6","Food AdditivesCOLOUR","1964","Disodium salt of 5-amino-4-hydroxy-3-(phenylazo)-2,7-naphthalenedisulfonic acid",NA,NA,NA,"FAST ACID MAGENTA B","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/12",NA
